"","x"
"319",1.7887143071484e-05
"320",2.0119722085965e-05
"321",1.9668336533555e-05
"322",2.0176582961853e-05
"323",2.5588170668029e-05
"324",1.6696288904412e-05
"325",1.9526017479648e-05
"326",1.5696812504785e-05
"327",1.7053764493519e-05
"328",3.440446510664e-06
"329",1.2096648882903e-05
"330",2.6522715895196e-05
"331",3.4198951707983e-05
"332",1.2997442425904e-05
"333",1.1860679024395e-05
"334",1.9209137198474e-05
"335",1.2889773311477e-05
"336",1.574674319654e-05
"337",1.1912849763487e-05
"338",8.961358742503e-06
"339",6.719271920595e-06
"340",1.8192056932126e-05
"341",1.2906570281126e-05
"342",1.633325168556e-05
"343",1.5828670744154e-05
"344",1.2372655620548e-05
"345",2.1349687156296e-05
"346",1.6871782814292e-05
"347",1.370461189368e-05
"348",1.6929081925739e-05
"349",5.6962548400458e-05
"350",2.4337326853849e-05
"351",5.4193460524331e-05
"352",2.8955247372362e-05
"353",2.905577027397e-05
"354",5.1229807349929e-05
"355",6.2735365756699e-05
"356",6.3102716654194e-05
"357",3.2934198077118e-05
"358",4.194399793443e-05
"359",3.8087314741777e-05
"360",5.6099999804457e-05
"361",4.5677942889759e-05
"362",2.9170510738033e-05
"363",2.7403794151942e-05
"364",6.1378648264051e-05
"365",2.6791367014372e-05
"366",4.4948236600299e-05
"367",6.9364361137945e-05
"368",6.1434841415478e-05
"369",2.5293220724241e-05
"370",2.1955830086667e-05
"371",2.3427556884052e-05
"372",3.8092146914048e-05
"373",2.166532361812e-05
"374",6.2686794357576e-05
"375",3.0824245382654e-05
"376",2.2604954919837e-05
"377",2.1857306435235e-05
"378",1.1635515273823e-05
"379",5.7377749478062e-05
"380",2.2880346607908e-05
"381",6.1904006917186e-05
"382",3.3070838586715e-05
"383",3.2867778339466e-05
"384",2.4215430484573e-05
"385",1.7762502774118e-05
"386",1.3855056967715e-05
"387",4.461946985276e-05
"388",2.5338793439528e-05
"389",2.0257336945409e-05
"390",1.3057363702157e-05
"391",1.1332983206627e-05
"392",2.6995023384155e-05
"393",2.9128940129719e-05
"394",1.6164509130634e-05
"395",2.3398288518525e-05
"396",2.4608161539522e-05
"397",1.621708115176e-05
"398",9.446295756781e-06
"399",1.3042752985583e-05
"400",1.1230895478491e-05
"401",1.8276569594456e-05
"402",1.9721750568128e-05
"403",2.4304611013024e-05
"404",3.8417511497885e-05
"405",2.1560381707805e-05
"406",1.415397613746e-05
"407",2.9643167010263e-05
"408",3.993677394214e-05
"409",1.3344294934341e-05
"410",2.5989935954207e-05
"411",3.1862006451846e-05
"412",4.7708563484735e-05
"413",5.3365890535693e-05
"414",2.7472418710842e-05
"415",1.9587219294795e-05
"416",1.9695170889788e-05
"417",1.6301951165992e-05
"418",1.0533167376484e-05
"419",1.5933855420163e-05
"420",1.8232019889238e-05
"421",1.585832852966e-05
"422",1.1929214981519e-05
"423",1.892726633661e-05
"424",7.777863583253e-06
"425",9.010927842772e-06
"426",8.287764503308e-06
"427",1.5042373408262e-05
"428",1.1986470022468e-05
"429",6.561746344076e-06
"430",1.021851245281e-05
"431",1.2352600354677e-05
"432",1.8783910384212e-05
"433",1.3080837656019e-05
"434",1.0552595487781e-05
"435",1.0583477044699e-05
"436",1.5993237204863e-05
"437",1.5895377827552e-05
"438",1.5348623246862e-05
"439",1.0801755658497e-05
"440",8.483495242971e-06
"441",1.5348428549773e-05
"442",1.7745280015383e-05
"443",1.8139306630794e-05
"444",1.3398740900609e-05
"445",1.6638012511867e-05
"446",1.9524209918371e-05
"447",1.4840046412168e-05
"448",1.1660961016619e-05
"449",9.206566483395e-06
"450",2.1168139081089e-05
"451",9.206031377558e-06
"452",8.180908436379e-06
"453",1.6729286420722e-05
"454",7.287575098195e-06
"455",6.549703986147e-06
"456",1.4231033590689e-05
"457",2.0571631050763e-05
"458",1.6288025088772e-05
"459",2.2339917826879e-05
"460",2.1034120458746e-05
"461",2.1904717530145e-05
"462",1.0675505826634e-05
"463",6.271470423822e-06
"464",2.0875104496619e-05
"465",1.4844859953535e-05
"466",7.78477278844e-06
"467",1.0404471129453e-05
"468",5.871949540499e-06
"469",5.01116425171e-06
"470",8.821220061378e-06
"471",1.1452823700869e-05
"472",6.29879911543e-06
"473",1.6054375206509e-05
"474",5.816546163513e-06
"475",6.255391647165e-06
"476",8.288542918528e-06
"477",5.335119503244e-06
"478",9.161726484265e-06
"479",3.3092700260166e-05
"480",1.3007636981456e-05
"481",1.2830357324401e-05
"482",1.491211255304e-05
"483",1.601433584865e-05
"484",1.5462122922746e-05
"485",1.2719839572072e-05
"486",9.841946300427e-06
"487",1.0213086179986e-05
"488",7.697487545289e-06
"489",9.22617288283e-06
"490",1.5077921646083e-05
"491",5.650802163793e-06
"492",3.523498125284e-06
"493",3.775081172933e-06
"494",6.745235963153e-06
"495",4.997071150746e-06
"496",3.607120186908e-06
"497",4.767081490105e-06
"498",4.453092222884e-06
"499",4.426914579019e-06
"500",4.207265755465e-06
"501",4.49696940146e-06
"502",4.677516249416e-06
"503",2.75841651684e-06
"504",4.192597404479e-06
"505",4.811173290666e-06
"506",5.221644566463e-06
"507",5.894528987223e-06
"508",3.075919389e-06
"509",2.553250642976e-06
"510",7.736156286318e-06
"511",4.835744554544e-06
"512",5.834218249918e-06
